"ID","FNAME","TALKERS"
"1","./playback/STIMULI/samples/snr_30_dB_NCHNG_MMRP0_sent_1_SA2_MMRP0_sent_2_SX324_ONINS_1269_ms_CHINS_4374_ms_OFINS_8251_ms.wav","1"
"2","./playback/STIMULI/samples/snr_10_dB_NCHNG_MGWT0_sent_1_SX9_MGWT0_sent_2_SI1539_ONINS_1297_ms_CHINS_3660_ms_OFINS_6805_ms.wav","1"
"3","./playback/STIMULI/samples/snr_30_dB_CHNG_MTRC0_sent_1_SX363_MRWS1_sent_2_SX230_ONINS_136_ms_CHINS_2747_ms_OFINS_5597_ms.wav","2"
"4","./playback/STIMULI/samples/snr_10_dB_CHNG_MTMT0_sent_1_SX398_MRJR0_sent_2_SI1812_ONINS_142_ms_CHINS_3479_ms_OFINS_6190_ms.wav","2"
"5","./playback/STIMULI/samples/snr_30_dB_NCHNG_MRVG0_sent_1_SX60_MRVG0_sent_2_SX150_ONINS_227_ms_CHINS_3131_ms_OFINS_5075_ms.wav","1"
"6","./playback/STIMULI/samples/snr_10_dB_NCHNG_MJFR0_sent_1_SX345_MJFR0_sent_2_SA1_ONINS_135_ms_CHINS_3857_ms_OFINS_7699_ms.wav","1"
"7","./playback/STIMULI/samples/snr_30_dB_CHNG_MEFG0_sent_1_SI491_MRAV0_sent_2_SI2268_ONINS_217_ms_CHINS_4682_ms_OFINS_8306_ms.wav","2"
"8","./playback/STIMULI/samples/snr_10_dB_CHNG_MGAW0_sent_1_SI1802_MDLB0_sent_2_SI1936_ONINS_182_ms_CHINS_3901_ms_OFINS_6433_ms.wav","2"
"9","./playback/STIMULI/samples/snr_30_dB_NCHNG_MDBB0_sent_1_SX25_MDBB0_sent_2_SI565_ONINS_250_ms_CHINS_2852_ms_OFINS_6983_ms.wav","1"
"10","./playback/STIMULI/samples/snr_10_dB_NCHNG_MCSH0_sent_1_SX19_MCSH0_sent_2_SX199_ONINS_147_ms_CHINS_3140_ms_OFINS_6989_ms.wav","1"
"11","./playback/STIMULI/samples/snr_30_dB_CHNG_MTML0_sent_1_SX345_MCEM0_sent_2_SI768_ONINS_136_ms_CHINS_2959_ms_OFINS_7994_ms.wav","2"
"12","./playback/STIMULI/samples/snr_10_dB_CHNG_MLNS0_sent_1_SI1407_MJRF0_sent_2_SX281_ONINS_150_ms_CHINS_2382_ms_OFINS_5257_ms.wav","2"
"13","./playback/STIMULI/samples/snr_30_dB_NCHNG_MBJK0_sent_1_SX365_MBJK0_sent_2_SA1_ONINS_919_ms_CHINS_4468_ms_OFINS_7673_ms.wav","1"
"14","./playback/STIMULI/samples/snr_10_dB_NCHNG_MDWK0_sent_1_SX190_MDWK0_sent_2_SI2170_ONINS_145_ms_CHINS_2951_ms_OFINS_6056_ms.wav","1"
"15","./playback/STIMULI/samples/snr_30_dB_CHNG_MSRG0_sent_1_SX141_MRLR0_sent_2_SA1_ONINS_137_ms_CHINS_3055_ms_OFINS_5879_ms.wav","2"
"16","./playback/STIMULI/samples/snr_10_dB_CHNG_MPLB0_sent_1_SA2_MABC0_sent_2_SI1620_ONINS_136_ms_CHINS_3413_ms_OFINS_4490_ms.wav","2"
"17","./playback/STIMULI/samples/snr_30_dB_NCHNG_MLSH0_sent_1_SX157_MLSH0_sent_2_SX247_ONINS_138_ms_CHINS_2662_ms_OFINS_6790_ms.wav","1"
"18","./playback/STIMULI/samples/snr_10_dB_NCHNG_MPGH0_sent_1_SX114_MPGH0_sent_2_SA1_ONINS_64_ms_CHINS_2578_ms_OFINS_4787_ms.wav","1"
"19","./playback/STIMULI/samples/snr_30_dB_CHNG_MDCM0_sent_1_SX220_MFER0_sent_2_SA2_ONINS_129_ms_CHINS_3663_ms_OFINS_5984_ms.wav","2"
"20","./playback/STIMULI/samples/snr_10_dB_CHNG_MWAC0_sent_1_SX341_MHRM0_sent_2_SX238_ONINS_148_ms_CHINS_3567_ms_OFINS_5707_ms.wav","2"
"21","./playback/STIMULI/samples/snr_30_dB_NCHNG_MEWM0_sent_1_SA2_MEWM0_sent_2_SI1348_ONINS_138_ms_CHINS_3312_ms_OFINS_5289_ms.wav","1"
"22","./playback/STIMULI/samples/snr_10_dB_NCHNG_MGXP0_sent_1_SX367_MGXP0_sent_2_SI1087_ONINS_147_ms_CHINS_3593_ms_OFINS_7602_ms.wav","1"
"23","./playback/STIMULI/samples/snr_30_dB_CHNG_MMWB0_sent_1_SX89_MCDD0_sent_2_SX73_ONINS_137_ms_CHINS_3417_ms_OFINS_5611_ms.wav","2"
"24","./playback/STIMULI/samples/snr_10_dB_CHNG_MRJM4_sent_1_SI2119_MMAB0_sent_2_SX372_ONINS_135_ms_CHINS_2370_ms_OFINS_4769_ms.wav","2"
"25","./playback/STIMULI/samples/snr_30_dB_NCHNG_MKAH0_sent_1_SX358_MKAH0_sent_2_SA1_ONINS_221_ms_CHINS_2800_ms_OFINS_5697_ms.wav","1"
"26","./playback/STIMULI/samples/snr_10_dB_NCHNG_MRGG0_sent_1_SX299_MRGG0_sent_2_SA1_ONINS_127_ms_CHINS_3140_ms_OFINS_6430_ms.wav","1"
"27","./playback/STIMULI/samples/snr_30_dB_CHNG_MCAL0_sent_1_SA2_MJRP0_sent_2_SA1_ONINS_146_ms_CHINS_3018_ms_OFINS_5958_ms.wav","2"
"28","./playback/STIMULI/samples/snr_10_dB_CHNG_MRJT0_sent_1_SX238_MDAW1_sent_2_SX283_ONINS_165_ms_CHINS_2911_ms_OFINS_5379_ms.wav","2"
"29","./playback/STIMULI/samples/snr_30_dB_NCHNG_MMJB1_sent_1_SI1408_MMJB1_sent_2_SX418_ONINS_205_ms_CHINS_3172_ms_OFINS_6124_ms.wav","1"
"30","./playback/STIMULI/samples/snr_10_dB_NCHNG_MRCW0_sent_1_SI1371_MRCW0_sent_2_SA1_ONINS_143_ms_CHINS_3221_ms_OFINS_5887_ms.wav","1"
"31","./playback/STIMULI/samples/snr_30_dB_CHNG_MHMR0_sent_1_SX129_MJEE0_sent_2_SX67_ONINS_147_ms_CHINS_3101_ms_OFINS_6745_ms.wav","2"
"32","./playback/STIMULI/samples/snr_10_dB_CHNG_MKAJ0_sent_1_SI2044_MFXV0_sent_2_SA1_ONINS_135_ms_CHINS_4097_ms_OFINS_7078_ms.wav","2"
"33","./playback/STIMULI/samples/snr_30_dB_NCHNG_MKLT0_sent_1_SX43_MKLT0_sent_2_SI1213_ONINS_123_ms_CHINS_2218_ms_OFINS_4352_ms.wav","1"
"34","./playback/STIMULI/samples/snr_10_dB_NCHNG_MTPG0_sent_1_SX393_MTPG0_sent_2_SI1383_ONINS_178_ms_CHINS_2626_ms_OFINS_6101_ms.wav","1"
"35","./playback/STIMULI/samples/snr_30_dB_CHNG_MTLC0_sent_1_SI847_MJFC0_sent_2_SI2293_ONINS_133_ms_CHINS_2772_ms_OFINS_6128_ms.wav","2"
"36","./playback/STIMULI/samples/snr_10_dB_CHNG_MCEW0_sent_1_SI812_MDPS0_sent_2_SX269_ONINS_118_ms_CHINS_5395_ms_OFINS_7223_ms.wav","2"
"37","./playback/STIMULI/samples/snr_30_dB_NCHNG_MEJS0_sent_1_SX430_MEJS0_sent_2_SX70_ONINS_142_ms_CHINS_3935_ms_OFINS_4660_ms.wav","1"
"38","./playback/STIMULI/samples/snr_10_dB_NCHNG_MMAB1_sent_1_SX54_MMAB1_sent_2_SI2124_ONINS_192_ms_CHINS_3891_ms_OFINS_5960_ms.wav","1"
"39","./playback/STIMULI/samples/snr_30_dB_CHNG_MJES0_sent_1_SA1_MFWK0_sent_2_SA2_ONINS_158_ms_CHINS_3300_ms_OFINS_5756_ms.wav","2"
"40","./playback/STIMULI/samples/snr_10_dB_CHNG_MTRT0_sent_1_SI597_MGRL0_sent_2_SI1497_ONINS_148_ms_CHINS_2612_ms_OFINS_4715_ms.wav","2"
